event_id,method,auprc,roc_auc,localization_error_seconds,within_0p15,within_0p30,within_0p60,top_1pct_recall,false_positive_burden,calibration_error
EDR001,baseline:D_e_abs,0.7265000492950803,0.8973421926910299,0.0,True,True,True,0.3,,
EDR001,baseline:D_e_normalized,0.11934688517123265,0.8524916943521597,0.6900000000000004,False,False,False,0.0,,
EDR001,baseline:D_e_positive,0.8288838832814622,0.9239202657807309,0.0,True,True,True,0.4,,
EDR001,baseline:E_parallel_abs,0.5616672326810377,0.8787375415282392,0.0,True,True,True,0.3,,
EDR001,baseline:E_prime_magnitude,0.23152538855341606,0.8661129568106312,2.25,False,False,False,0.2,,
EDR001,baseline:J_magnitude,0.7567628205128204,0.9883720930232558,0.0,True,True,True,0.4,,
EDR001,baseline:Q,0.316163380320555,0.7129568106312292,3.21,False,False,False,0.3,,
EDR001,baseline:pressure_anisotropy_abs,0.8223740510697032,0.9827242524916944,0.03000000000000025,True,True,True,0.4,,
EDR001,nonlinear_invariant,0.57994116994117,0.9764119601328904,0.0,True,True,True,0.2,0.004465898379494152,0.027284242144788712
EDR001,sparse_invariant,0.41624341238471674,0.9362126245847177,0.0,True,True,True,0.2,0.01939186257217844,0.011416487692571569
EDR003,baseline:D_e_abs,0.07616626676278707,0.8285714285714285,1.5600000000000005,False,False,False,0.0,,
EDR003,baseline:D_e_normalized,0.02204527614744333,0.5631746031746032,4.709999999999999,False,False,False,0.0,,
EDR003,baseline:D_e_positive,0.049006410256410254,0.6063492063492064,1.5600000000000005,False,False,False,0.0,,
EDR003,baseline:E_parallel_abs,0.07449074670299752,0.8393650793650794,5.13,False,False,False,0.0,,
EDR003,baseline:E_prime_magnitude,0.21564169826793347,0.8196825396825398,5.46,False,False,False,0.2,,
EDR003,baseline:J_magnitude,0.15021999443052075,0.8552380952380954,0.8399999999999999,False,False,False,0.2,,
EDR003,baseline:Q,0.0958447254499886,0.900952380952381,5.1,False,False,False,0.0,,
EDR003,baseline:pressure_anisotropy_abs,0.08834501347708895,0.6888888888888889,3.42,False,False,False,0.0,,
EDR003,nonlinear_invariant,0.3956550375630339,0.8952380952380953,0.02999999999999936,True,True,True,0.4,0.00987194889505776,0.0054805497170271784
EDR003,sparse_invariant,0.18799988055422837,0.8825396825396826,5.1,False,False,False,0.2,0.032254339456142464,0.023904446278606575
EDR007,baseline:D_e_abs,0.15961744005861656,0.6977049180327869,5.85,False,False,False,0.1,,
EDR007,baseline:D_e_normalized,0.03413738907161841,0.5154098360655738,0.33000000000000007,False,False,True,0.0,,
EDR007,baseline:D_e_positive,0.19225208235109226,0.5763934426229509,0.39000000000000057,False,False,True,0.2,,
EDR007,baseline:E_parallel_abs,0.3462564121796847,0.8616393442622952,0.5699999999999994,False,False,True,0.2,,
EDR007,baseline:E_prime_magnitude,0.058403526702212605,0.6262295081967213,2.6100000000000003,False,False,False,0.0,,
EDR007,baseline:J_magnitude,0.7326530612244897,0.8685245901639346,0.0,True,True,True,0.4,,
EDR007,baseline:Q,0.7752234194007636,0.838688524590164,0.02999999999999936,True,True,True,0.4,,
EDR007,baseline:pressure_anisotropy_abs,0.020802945207409183,0.20786885245901637,0.3600000000000003,False,False,True,0.0,,
EDR007,nonlinear_invariant,0.8136485042735043,0.8980327868852459,0.03000000000000025,True,True,True,0.4,0.00790377272138783,0.013465568712207984
EDR007,sparse_invariant,0.7907397504456328,0.878688524590164,0.02999999999999936,True,True,True,0.4,0.028840366914729923,0.03231524366739755
EDR011,baseline:D_e_abs,0.17529808051188153,0.7405555555555556,0.7800000000000002,False,False,False,0.16666666666666666,,
EDR011,baseline:D_e_normalized,0.017872586869107168,0.3972222222222222,1.5599999999999996,False,False,False,0.0,,
EDR011,baseline:D_e_positive,0.12572272498743087,0.5222222222222221,0.7800000000000002,False,False,False,0.16666666666666666,,
EDR011,baseline:E_parallel_abs,0.05894185291099737,0.7438888888888889,5.46,False,False,False,0.0,,
EDR011,baseline:E_prime_magnitude,0.17417989417989418,0.8983333333333334,0.75,False,False,False,0.16666666666666666,,
EDR011,baseline:J_magnitude,0.5852252536818415,0.9566666666666667,0.02999999999999936,True,True,True,0.5,,
EDR011,baseline:Q,0.3776537698412698,0.9105555555555556,0.7800000000000002,False,False,False,0.3333333333333333,,
EDR011,baseline:pressure_anisotropy_abs,0.015018862161202424,0.2844444444444445,5.85,False,False,False,0.0,,
EDR011,nonlinear_invariant,0.6288555194805194,0.9133333333333333,0.02999999999999936,True,True,True,0.5,0.030162047487817093,0.02550265947033663
EDR011,sparse_invariant,0.49045089497392125,0.8994444444444445,0.02999999999999936,True,True,True,0.3333333333333333,0.04583105821362628,0.038844671106503165
EDR013,baseline:D_e_abs,0.13763132884643461,0.6953333333333334,5.34,False,False,False,0.0,,
EDR013,baseline:D_e_normalized,0.038307706420702525,0.5496666666666666,3.99,False,False,False,0.0,,
EDR013,baseline:D_e_positive,0.17235909504591876,0.6955,5.34,False,False,False,0.0,,
EDR013,baseline:E_parallel_abs,0.15993326468356642,0.6896666666666667,0.08999999999999986,True,True,True,0.1,,
EDR013,baseline:E_prime_magnitude,0.10208003058005341,0.748,5.4,False,False,False,0.0,,
EDR013,baseline:J_magnitude,0.16536205975565244,0.8946666666666667,2.73,False,False,False,0.0,,
EDR013,baseline:Q,0.7360763267740011,0.979,0.41999999999999993,False,False,True,0.4,,
EDR013,baseline:pressure_anisotropy_abs,0.13131262170404737,0.8280000000000001,3.42,False,False,False,0.0,,
